日期,Close,Open,High,Low,Volume,涨跌幅,涨跌情况（1为涨、0为跌）
2023/2/9,207.39,199.66,207.74,199.55,24.49,3.93%,1
2023/2/10,204.7,207.39,207.48,203.12,14.03,-1.30%,0
2023/2/13,212.4,203,214.9,202.99,28.91,3.76%,1
2023/2/14,209.24,212.4,213.75,208.6,18.49,-1.49%,0
2023/2/15,211,211.59,213.89,209.5,16.93,0.84%,1
2023/2/16,210.79,209.35,214.68,207.8,21.34,-0.10%,0
2023/2/17,208.15,209.45,214.45,208,18.45,-1.25%,0
2023/2/20,212.95,208.2,213.8,205.5,19.17,2.31%,1
2023/2/21,210.08,212.5,212.62,208.5,13.94,-1.35%,0
2023/2/22,207.5,208.45,210.54,206.5,14.1,-1.23%,0
2023/2/23,205.1,206.5,208.22,203.7,14.58,-1.16%,0
2023/2/24,201.1,205.07,205.07,199.82,20.4,-1.95%,0
2023/2/27,204.81,199.06,206.23,198.84,17.3,1.84%,1
2023/2/28,204.42,207,208.06,202.08,11.48,-0.19%,0
2023/3/1,207.38,204.17,208.85,202.9,15.45,1.45%,1
2023/3/2,206.24,206.1,207.61,205.36,7.45,-0.55%,0
2023/3/3,205.76,208,209.46,203.5,9.28,-0.23%,0
2023/3/6,204.58,205.01,206.5,202.58,11.14,-0.57%,0
2023/3/7,200.45,204.35,204.35,200.11,12.53,-2.02%,0
2023/3/8,199.3,199,201.5,198,10.22,-0.57%,0
2023/3/9,198,199,199.7,193.9,16.85,-0.65%,0
2023/3/10,195.24,196.21,199.58,195.17,11.1,-1.39%,0
2023/3/13,198.6,195,200.28,195,12.65,1.72%,1
2023/3/14,195.28,198.7,198.72,193.7,10.28,-1.67%,0
2023/3/15,192.32,198,199.33,192.3,12.99,-1.52%,0
2023/3/16,191.2,191,194.2,189.33,12.05,-0.58%,0
2023/3/17,188.5,193.85,194.24,188,15.61,-1.41%,0
2023/3/20,185.9,190,190.59,185,15.46,-1.38%,0
2023/3/21,192.24,187.4,193.11,185.22,18.79,3.41%,1
2023/3/22,191.77,192.25,196.08,191.42,10.85,-0.24%,0
2023/3/23,194.58,190.9,195.99,190.06,13.28,1.47%,1
2023/3/24,193.02,194,195.95,191.5,10.25,-0.80%,0
2023/3/27,190.41,192.81,192.84,189,11.88,-1.35%,0
2023/3/28,192.5,190.39,193.91,190.21,10.92,1.10%,1
2023/3/29,195.28,194,196,191.6,15.95,1.44%,1
2023/3/30,198.39,195.28,198.96,194.18,15.15,1.59%,1
2023/3/31,197,201,202,197,12.76,-0.70%,0
2023/4/3,195.19,196.98,197,193.08,13.37,-0.92%,0
2023/4/4,196.15,195.5,196.66,192.95,14.25,0.49%,1
2023/4/6,190.54,195,195,189.07,15.11,-2.86%,0
2023/4/7,189.06,189.8,191.83,187.54,11.3,-0.78%,0
2023/4/10,184.65,185,185.02,178.2,33.97,-2.33%,0
2023/4/11,180.53,183.97,184.15,180.01,19.12,-2.23%,0
2023/4/12,175.82,181,181.11,175.55,27.28,-2.61%,0
2023/4/13,177.88,176,179.9,175.55,21.08,1.17%,1
2023/4/14,175.59,178.22,178.5,175.03,14.47,-1.29%,0
2023/4/17,178.18,176.79,179.92,176.49,18.56,1.48%,1
2023/4/18,178.32,179,180.17,177.58,14.41,0.08%,1
2023/4/19,176.29,178.67,178.96,175.5,12.62,-1.14%,0
2023/4/20,173.5,176.34,176.98,172.5,14.8,-1.58%,0
2023/4/21,172,174,175.3,171.8,12.09,-0.86%,0
2023/4/24,168,172.1,172.9,167.5,17.61,-2.33%,0
2023/4/25,169.8,168,169.88,165.65,15.49,1.07%,1
2023/4/26,168.61,169.1,171.18,167.58,14.81,-0.70%,0
2023/4/27,169.17,168.6,170.3,166.4,15.04,0.33%,1
2023/4/28,169,171.26,171.95,167.88,17.94,-0.10%,0
2023/5/4,168.95,172.5,172.95,167.45,26.59,-0.03%,0
2023/5/5,173.71,168.95,174.1,168.25,25.17,2.82%,1
2023/5/8,171.4,174.5,175.5,170.79,17.75,-1.33%,0
2023/5/9,174.77,170.83,177.5,170,22.29,1.97%,1
2023/5/10,173.32,172.8,174.5,171.59,11.89,-0.83%,0
2023/5/11,172.57,173.98,176.49,172.21,12.29,-0.43%,0
2023/5/12,169.37,172.2,174.5,169.36,12.96,-1.85%,0
2023/5/15,172.44,168.25,172.49,168.03,13.08,1.81%,1
2023/5/16,170.49,172.3,172.36,169.8,9.94,-1.13%,0
2023/5/17,169.34,170,170.9,168.75,8.6,-0.67%,0
2023/5/18,168.66,169.49,170.71,168,8.78,-0.40%,0
2023/5/19,170.8,168.09,171.26,166.75,12.07,1.27%,1
2023/5/22,177.61,170.89,179.06,169.08,30.24,3.99%,1
2023/5/23,174,177.8,178.5,174,13.67,-2.03%,0
2023/5/24,170.35,173.52,173.98,170.35,13.36,-2.10%,0
2023/5/25,168.2,169.42,169.68,167.45,14.39,-1.26%,0
2023/5/26,170.1,168.2,171.89,168,12.29,1.13%,1
2023/5/29,168.26,170.94,171.85,167.58,12.98,-1.08%,0
2023/5/30,165.17,168,169.45,163.5,18.36,-1.84%,0
2023/5/31,161.18,165,165.13,160.02,21.34,-2.42%,0
2023/6/1,163.32,162.49,166.6,161.2,16.9,1.33%,1
2023/6/2,167.9,165,168.4,163.33,19.21,2.80%,1
2023/6/5,165.2,167.28,167.68,164.63,11.34,-1.61%,0
2023/6/6,165.62,166.3,168.43,164.53,13.54,0.25%,1
2023/6/7,164,166.15,167.05,164,9.53,-0.98%,0
2023/6/8,164.82,164.21,166.07,163.02,9.16,0.50%,1
2023/6/9,164.59,164.94,165.98,163.8,11.96,-0.14%,0
2023/6/12,170.41,164.02,172,162.94,24.18,3.54%,1
2023/6/13,173.08,170,173.9,169.41,18.29,1.57%,1
2023/6/14,177.68,174.8,179.35,172.66,24.1,2.66%,1
2023/6/15,182,179.21,182.82,178,24.05,2.43%,1
2023/6/16,184.08,182.6,185.6,181.5,21.63,1.14%,1
2023/6/19,177.54,183,183.71,176.5,24.23,-3.55%,0
2023/6/20,174.01,177,178.4,173.6,17.87,-1.99%,0
2023/6/21,171.4,173.99,174.89,171.2,13.95,-1.50%,0
2023/6/26,166.66,169.5,169.89,165,21.93,-2.77%,0
